Date,Event name,Period
Submitted by INS on 08/11/2025,Slaughtering of animals and poultry and meat production,June 2025
Submitted by INS on 08/11/2025,Romania's foreign trade (estimated data),June 2025
Submitted by INS on 08/11/2025,Vital statistics,June 2025
Submitted by INS on 08/12/2025,Consumer price index (CPI),iulie 2025
Submitted by INS on 08/12/2025,Monthly average earning,June 2025
Submitted by INS on 08/14/2025,Turnover index in industry,June 2025
Submitted by INS on 08/14/2025,GDP evolution in the Second quarter 2025 (estimated data) (flash),Second quarter 2025
Submitted by INS on 08/14/2025,Value indices of industrial new orders,June 2025
Submitted by INS on 08/14/2025,Industrial production indices (IPI),June 2025
Submitted by INS on 08/19/2025,Energy resources (provisional data),"January 1 - June 30, 2025"
Submitted by INS on 08/20/2025,Construction works,June 2025
Submitted by INS on 08/20/2025,Job vacancies,Second quarter 2025
Submitted by INS on 08/21/2025,The turnover of the trade with motor vehicles and motorcycles,June 2025
Submitted by INS on 08/21/2025,Turnover in trade and services provided to the population,June 2025
Submitted by INS on 08/22/2025,Turnover of market services rendered mainly to enterprises,June 2025
Submitted by INS on 08/22/2025,Wholesale turnover,June 2025
Submitted by INS on 08/28/2025,Trends in the evolution of economic activity,August - October 2025
Submitted by INS on 08/29/2025,Construction permits released for buildings,July 2025
Submitted by INS on 08/29/2025,"Resident population on January 1, 2025 and international migration in 2024",Year 2024
Submitted by INS on 08/29/2025,System of Health Accounts,Year 2023
Submitted by INS on 09/01/2025,ILO Unemployment,July 2025
Submitted by INS on 09/02/2025,Industrial production prices index (IPPI),July 2025
Submitted by INS on 09/03/2025,Quarterly labour costs index,Second quarter 2025
Submitted by INS on 09/04/2025,Turnover in retail trade,July 2025
Submitted by INS on 09/05/2025,Tourism,July 2025
Submitted by INS on 09/05/2025,Gross domestic product in the second quarter 2024 (provisional data) (1),Second quarter 2025
Submitted by INS on 09/09/2025,Romania's foreign trade (estimated data),July 2025
Submitted by INS on 09/10/2025,Slaughtering of animals and poultry and meat production,July 2025
Submitted by INS on 09/10/2025,Vital statistics,July 2025
Submitted by INS on 09/11/2025,Consumer price index (CPI),August 2025
Submitted by INS on 09/12/2025,Average number of pensioners and average monthly pension in second quarter 2025,Second quarter 2025
Submitted by INS on 09/12/2025,Construction of dwellings (provisional data),Second quarter and first semester 2025
Submitted by INS on 09/12/2025,Monthly average earning,iulie 2025
Submitted by INS on 09/12/2025,Net investments in the national economy (provisional data),Second quarter and first semester 2025
Submitted by INS on 09/15/2025,Employment and unemployment,Second quarter 2025
Submitted by INS on 09/15/2025,Energy resources (provisional data),"January 1 - July 31, 2025"
