ticker,company_name,sector,market_cap,pe_ratio,net_profit_ltm,next_earning_date,isin
ABN,ABN Systems International,,,,,,RO4RE5P89AZ6
ADISS,ADISS,,,,,,ROL8TEGLBRX2
ADMY,ADMET SA GALATI,,,,,,ROADMYACNOR7
ADS,,,,,,,
AG,AGROLAND BUSINESS SYSTEM,,,,,,RO3UHXXNWZE0
AGCM,AGROMEC SA CIOROGARLA,,,,,,ROAGCMACNOR6
ALB,ALBAPAM S.A.,,,,,,ROAPAMACNOR1
ALCQ,ALCOM SA TIMISOARA,,,,,,ROALCQACNOR7
ALDANI,ALDANI MASTER CAPITAL S.A.,,,,,,ROAGQRACNOR5
ALRV,ALIMENTARA SA Slatina,,,,,,ROALRVACNOR5
ALV,,,,,,,
ALW,VISUAL FAN,,,,,,RODHGCP0NGX5
AMAL,INTERNATIONAL CAVIAR CORPORATION SA CALAN,,,,,,ROAMALACNOR0
ANIM,STUDIOUL CINEMATOGRAFIC ANIMAFILM SA BUCURESTI,,,,,,ROANIMACNOR9
ANTA,ROMANTA ESTIVAL 2002 SA NEPTUN,,,,,,ROANTAACNOR1
APP,APPRAISAL & VALUATION,,,,,,RO76FWSPH543
ARAX,ARMAX GAZ SA Medias,,,,,,ROARAXACNOR4
ARCU,SIFI CLUJ RETAIL SA Bucuresti,,,,,,ROARCUACNOR6
ARCV,IMOTRUST SA ARAD,,,,,,ROARCVACNOR4
ARJI,ARTECA SA JILAVA,,,,,,ROARJIACNOR6
ARMT,CAROMET SA CARANSEBES,,,,,,ROARMTACNOR7
ARO,ARO-PALACE SA  BRASOV,,,,,,ROPOSTACNOR9
ASC,ASCENDIA SA,,,,,,ROASCIACNOR9
ASP,RAFINARIA ASTRA ROMANA S.A.,,,,,,RORAFIACNOR4
AST,ARCTIC STREAM,,,,,,ROD6RWU7GIX9
ATRD,ATELIERELE CFR GRIVITA SA BUCURESTI,,,,,,ROATRDACNOR6
AUXI,ATM - CONSTRUCT SA PLOIESTI,,,,,,ROAUXIACNOR1
AVIO,AVIOANE SA CRAIOVA,,,,,,ROAVIOACNOR8
AVSL,AVICOLA SA SLOBOZIA,,,,,,ROAVSLACNOR3
BADE,BAD SA SUCEAVA,,,,,,ROBADEACNOR2
BALN,TRATAMENT BALNEAR BUZIAS SA BUZIAS,,,,,,ROBALNACNOR6
BAYAN,,,,,,,
BBGA,ALUM SA Tulcea,,,,,,ROBBGAACNOR1
BENTO,2B Intelligent Soft,,,,,,ROQKJ0LFIS51
BIBU,BTT SA BUCURESTI,,,,,,ROBIBUACNOR5
BIOW,VIFRANA,,,,,,ROI91OMWY430
BLEA,BALEA ESTIVAL 2002 SA NEPTUN,,,,,,ROBLEAACNOR5
BMW,,,,,,,
BNAT,BANAT ESTIVAL 2002 SA OLIMP,,,,,,ROBNATACNOR9
BONA,BONAS IMPORT EXPORT,,,,,,ROP96R6D57V1
BRCR,BRAICONF SA BUCURESTI,,,,,,ROBRCRACNOR0
BRNA,ROMNAV SA BRAILA,,,,,,ROBRNAACNOR3
BUCS,BUCOVINA SA SCHEIA,,,,,,ROBUCSACNOR2
BUCU,BUCUR OBOR SA BUCURESTI,,,,,,ROBUCUACNOR8
BUCV,BUCUR SA Bucuresti,,,,,,ROBUCVACNOR6
CAB,GOCAB SOFTWARE S.A.,,,,,,ROK3B954ZRB9
CACU,SIFI CJ LOGISTIC SA,,,,,,ROCACUACNOR8
CAIN,CASA ALBA - INDEPENDENTA SA SIBIU,,,,,,ROCAINACNOR0
CBKN,,,,,,,
CBOT,COMCEREAL SA BOTOSANI,,,,,,ROCBOTACNOR3
CC,CONNECTIONS CONSULT S.A.,,,,,,RORQ95KPG879
CCOM,CEREALCOM SA ALEXANDRIA,,,,,,ROCCOMACNOR6
CEPO,CEPROCIM SA BUCURESTI,,,,,,ROCEPOACNOR5
CFED,CONSTRUCTII FEROVIARE CRAIOVA SA CRAIOVA,,,,,,ROCFEDACNOR9
CHIA,CONSTRUCTII HIDROTEHNICE SA IASI,,,,,,ROCHIAACNOR2
CHRD,CHROMOSOME DYNAMICS,,,,,,ROZ5681K54Z2
CICE,CICERO SA DR. T. SEVERIN,,,,,,ROCICEACNOR5
CICO,CI-CO SA,,,,,,ROCICOACNOR4
CLAIM,AIR CLAIM,,,,,,ROTNUON975Y2
CLUB,HOTEL CLUB ESTIVAL 2002 SA NEPTUN,,,,,,ROCLUBACNOR7
CMBU,COMMIXT SA BUFTEA,,,,,,ROCMBUACNOR5
